Entity,Code,Year,World Trade (relative to 1913) (Federico and Tena-Junguito (2016))
World,OWID_WRL,1800,2.140985227
World,OWID_WRL,1801,2.404047444
World,OWID_WRL,1802,3.023091325
World,OWID_WRL,1803,2.625804572
World,OWID_WRL,1804,2.739896095
World,OWID_WRL,1805,2.452423515
World,OWID_WRL,1806,2.602440698
World,OWID_WRL,1807,2.613827858
World,OWID_WRL,1808,1.775507036
World,OWID_WRL,1809,2.600542665
World,OWID_WRL,1810,2.522552756
World,OWID_WRL,1811,2.159217293
World,OWID_WRL,1812,2.115038114
World,OWID_WRL,1813,2.174440647
World,OWID_WRL,1814,2.267282011
World,OWID_WRL,1815,2.930514119
World,OWID_WRL,1816,3.017644347
World,OWID_WRL,1817,3.263395663
World,OWID_WRL,1818,3.065482067
World,OWID_WRL,1819,2.825089808
World,OWID_WRL,1820,3.357307712
World,OWID_WRL,1821,3.381799261
World,OWID_WRL,1822,3.547340355
World,OWID_WRL,1823,3.703233469
World,OWID_WRL,1824,4.131801337
World,OWID_WRL,1825,3.967434586
World,OWID_WRL,1826,4.430823885
World,OWID_WRL,1827,4.586846102
World,OWID_WRL,1828,4.827779502
World,OWID_WRL,1829,4.9666227
World,OWID_WRL,1830,5.152685622
World,OWID_WRL,1831,5.072184043
World,OWID_WRL,1832,5.267371644
World,OWID_WRL,1833,5.489606174
World,OWID_WRL,1834,5.757384955
World,OWID_WRL,1835,5.873858065
World,OWID_WRL,1836,6.261173298
World,OWID_WRL,1837,6.108251403
World,OWID_WRL,1838,6.503422447
World,OWID_WRL,1839,6.468313742
World,OWID_WRL,1840,7.074869422
World,OWID_WRL,1841,7.13085229
World,OWID_WRL,1842,7.038598453
World,OWID_WRL,1843,7.445915689
World,OWID_WRL,1844,8.363319335
World,OWID_WRL,1845,8.763817587
World,OWID_WRL,1846,8.946847121
World,OWID_WRL,1847,9.05064155
World,OWID_WRL,1848,8.700229346
World,OWID_WRL,1849,9.933625156
World,OWID_WRL,1850,10.14390364
World,OWID_WRL,1851,10.74941445
World,OWID_WRL,1852,12.02972325
World,OWID_WRL,1853,13.09038399
World,OWID_WRL,1854,12.51395781
World,OWID_WRL,1855,13.30299759
World,OWID_WRL,1856,14.72102982
World,OWID_WRL,1857,14.96693251
World,OWID_WRL,1858,14.88561324
World,OWID_WRL,1859,16.03389238
World,OWID_WRL,1860,16.88264756
World,OWID_WRL,1861,16.35220367
World,OWID_WRL,1862,16.42596246
World,OWID_WRL,1863,17.81782155
World,OWID_WRL,1864,18.50446876
World,OWID_WRL,1865,20.89344942
World,OWID_WRL,1866,21.9845522
World,OWID_WRL,1867,21.91733986
World,OWID_WRL,1868,22.39613398
World,OWID_WRL,1869,23.61977208
World,OWID_WRL,1870,24.71533689
World,OWID_WRL,1871,26.68898361
World,OWID_WRL,1872,27.85597457
World,OWID_WRL,1873,28.93827888
World,OWID_WRL,1874,29.24329353
World,OWID_WRL,1875,29.97931684
World,OWID_WRL,1876,30.6430473
World,OWID_WRL,1877,31.88768047
World,OWID_WRL,1878,32.48472331
World,OWID_WRL,1879,33.84518197
World,OWID_WRL,1880,35.16466561
World,OWID_WRL,1881,36.96834339
World,OWID_WRL,1882,38.77008616
World,OWID_WRL,1883,39.92888687
World,OWID_WRL,1884,40.18695042
World,OWID_WRL,1885,39.98321918
World,OWID_WRL,1886,41.35475484
