abandon	抛弃，放弃	v. 
abandonment	放弃	n. 
abasement	滥用	n. 
abbreviation	缩写	n. 
abeyance	缓办，中止	n. 
abide	遵守	v. 
ability	能力	n. 
able	有能力的，能干的	adj. 
abnormal	反常的，变态的	adj. 
aboard	船(车)上	adv. 
abolish	废除，取消	v. 
abolition	废除，取消	n. 
abortion	流产	n. 
abortive	无效果的，失败的	adj. 
about	关于，大约	prep. 
above	在...之上，高于	prep. 
above-mentioned	上述的	adj. 
abreast	并肩，并列	adv. 
abridge	省略，摘要	v. 
abroad	国外，海外	adv. 
abrogate	取消，废除	v. 
abrogation	取消，废除	n. 
abrupt	突然的，生硬的	adj. 
abruptly	突然地	adv. 
absence	缺席，缺乏	n. 
absent	缺席的，不存在	adj. 
absent-minded	心不在焉的	adj. 
absolute	完全的，绝对的	adj. 
absolutely	绝对，完全	adv. 
absorb	吸收，专心于	v. 
absorption	吸收，专注	n. 
abstract	抽象的，难懂的	adj. 
abstraction	抽象，提取	n. 
absurd	荒唐的	adj. 
absurdity	荒唐(事)	n. 
abundance	丰富，大量	n. 
abundant	丰富的，充裕的	adj. 
abuse	滥用，谩骂	v. 
academic	学院的，学术的	adj. 
academy	学院，研究院	n. 
accede	同意	v. 
accelerate	加速，加快	v. 
acceleration	加速，促进	v. 
accent	腔调	n. 
accept	接受，同意	v. 
acceptable	可接受的，合意的	adj. 
acceptance	接受，承兑	n. 
access	接近，入口	n. 
accessible	可接近的	adj. 
accessory	附件，装饰品	n. 
accident	事故，意外之事	n. 
accidental	意外的，偶然的	adj. 
accidentally	偶尔，附带	adv. 
accommodate	提供便利，拆借	v. 
accommodation	便利，通融	n. 
accompaniment	伴侣，伴奏	n. 
accompany	伴随，伴奏	v. 
accomplish	完成，达到	v. 
accomplishment	成就	n. 
accord	符合，协调	v. 
accordance	按照，与...一致	n. 
according	按照，据...说	adj. 
accordingly	相应地，从而	adj. 
account	账目	n. 
accountant	会计(师)	n. 
accounting	会计学	n. 
accrue	产生，发生	v. 
accrued	增值的，应计的	adj. 
accumulate	积累，积蓄	v. 
accumulation	积累	n. 
accumulative	积累的	adj. 
accuracy	准确(性)	n. 
accurate	准确的，精密的	adj. 
accurately	准确地	adj. 
accusation	控告	n. 
accuse	告发，指责	v. 
accustom	使...习惯于	v. 
ache	觉得疼	v. 
achieve	完成，实现	v. 
achievement	完成，成就	n. 
aching	疼痛的	adj. 
acid	酸	n. 
acknowledge	承认，鸣谢	v. 
acknowledgment	承认，鸣谢，回执	n. 
acquaint	使熟悉，相识	n. 
acquaintance	熟悉人，相识	n. 
acquaintant	熟悉的	adj. 
acquire	求得，获得	v. 
acquisition	获得	n. 
acre	英亩	n. 
acrobat	杂技演员	n. 
acrobatics	杂技	n. 
across	横越	prep. 
act	行为，法令	n. 
action	行为，行动	n. 
activate	使活跃，开动	v. 
active	活跃的，积极的	adj. 
actively	积极地，活跃地	adv. 
activity	活动	n. 
actor	男演员	n. 
actress	女演员	n. 
actual	现实的，实际的	adj. 
actuality	实际	n. 
actually	实际上，居然	adv. 
acute	剧烈的，敏锐的	adj. 
ad	(缩)广告	n. 
adapt	使适应，改编	v. 
adaptation	适应	n. 
add	增添，加，补充	v. 
addition	增加，附加物	n. 
additional	增加的，附加的	adj. 
additive	附加的	adj. 
address	地址	n. 
adequate	足够的，恰当的	adj. 
adequately	恰当地	adv. 
adhere	粘附，坚持	v. 
adhesive	粘合剂	n. 
adjacent	邻近的	adj. 
adjective	形容词	n. 
adjoin	毗连	v. 
adjust	调整，修整	v. 
adjustable	可调整的	adj. 
adjustment	调整	n. 
administer	管理	v. 
administration	行政管理，管理机关	n. 
administrative	行政管理的	adj. 
admirable	可钦佩的	adj. 
admiration	羡慕，钦佩	n. 
admire	钦佩，赞美	v. 
admission	准入，承认	n. 
admit	承认，接纳	v. 
admittedly	明白地	adv. 
adolescence	青春期	n. 
adolescent	青春期的	adj. 
adopt	采用，采纳	v. 
adoption	采用	n. 
adore	崇拜，敬慕	v. 
adorn	装饰，佩带	v. 
adornment	装饰(品)	n. 
adult	成年人	n. 
advance	前进	n. v. 
advanced	先进的，发达的	adj. 
advantage	优点，优势	n. 
advantageous	有利的，有用的	adj. 
adventure	冒险，惊险活动	n. 
adventurous	冒险的	adj. 
adverb	副词	n. 
adverbial	副词的	adj. 
adversary	敌手，对手	adj. 
adverse	逆的，相反的	v. 
adversity	逆境，不幸	n. 
advertise	登广告，推销	v. 
advertisement	广告	n. 
advertising	广告的	adj. 
advice	忠告，意见	n. 
advisable	适当的，可行的	adj. 
advise	劝告，通知	v. 
adviser	顾问	n. 
advocate	拥护，提倡	v. 
aerial	天空的，航空的	adj. 
aeroplane	飞机	n. 
affair	事件，事情	n. 
affect	影响，改变	v. 
affection	友爱，爱慕	n. 
affectionate	充满感情的	adj. 
affiliate	分号(公司)	n. 
affirm	断言，肯定	v. 
affirmation	确定，确认	n. 
affirmative	肯定的	adj. 
afford	买得起，经受得起	v. 
affordable	买得起的	adj. 
afloat	航行中的	adj. 
aforesaid	上述的	adj. 
afraid	害怕的，恐怕	adj. 
africa	非洲	n. 
african	非洲的	adj. 
after	在...后	prep. 
afternoon	下午	n. 
afterward	后来	adv. 
again	再，又	adv. 
against	反对，对着	prep. 
