uid,地名,区划码,地级,地级码,地级类,省级,省级码,省级类,曾用名,备注,ENG_NAME,code,VAR_NAME,NAME_2,VAR_NAME2,GID_2,TYPE_2,NAME_1,VAR_NAME1,GID_1,TYPE_1,year,prep,supply,resource,NEIGHBORS,SUM,filled_data_provinceID,filled_data_provinceName,filled_data_cityName,filled_data_precipitation,filled_data_waterSupply,filled_data_totalWaterResources,filled_data_hostPop,filled_data_stayPop,filled_data_ConsummerSupply
"0",阿克苏地区,"652900",阿克苏地区,"652900",地区,新疆维吾尔自治区,"650000",自治区,,,Akesu,"652900",ā Kè Sū,Akesu,ā Kè Sū,"652900",Prefecture,Xinjiang,Xīn Jiāng,"650000",Autonomous Region,"2018",2580.603,"-1","-1","653200,653100,659002,653000,654000,652800","-6",,,,,,,"-1","-1","-1"
"1",阿拉尔市,"659002",不统计,"0",不统计,新疆维吾尔自治区,"650000",自治区,,,Alaer,"659002",ā Lā ěr,NULL,NULL,"0",NULL,Xinjiang,Xīn Jiāng,"650000",Autonomous Region,"2018",1242.994,"-1","-1","652900","-1",,,,,,,"-1","-1","-1"
"2",阿拉善盟,"152900",阿拉善盟,"152900",盟,内蒙古自治区,"150000",自治区,,,Alashan,"152900",ā Lā Shàn,Alashan,ā Lā Shàn,"152900",League,Neimenggu,Nèi Měng Gǔ,"150000",Autonomous Region,"2018",5793.456,"-1","-1","150600,150800,620400,640500,620600,620300,640200,640100,150300,640300,620700,620900","41681",,,,,,,"-1","-1","-1"
"3",阿勒泰地区,"654300",阿勒泰地区,"654300",地区,新疆维吾尔自治区,"650000",自治区,,,Aletai,"654300",ā Lè Tài,Aletai,ā Lè Tài,"654300",Prefecture,Xinjiang,Xīn Jiāng,"650000",Autonomous Region,"2018",3484.542,"-1","-1","659005,654200,650100,652300","27459",,,,,,,"-1","-1","-1"
"4",阿里地区,"542500",阿里地区,"542500",地区,西藏自治区,"540000",自治区,,,Ali,"542500",ā Lǐ,Ali,ā Lǐ,"542500",Prefecture,Xizang,Xī Zàng,"540000",Autonomous Region,"2018",5244.644,"-1","-1","653200,540200,540600,652800","-4",,,,,,,"-1","-1","-1"
"5",安康市,"610900",安康市,"610900",地级市,陕西省,"610000",省,,,Ankang,"610900",ān Kāng,Ankang,ān Kāng,"610900",Prefecture City,Shaanxi,Shǎn Xī,"610000",Province,"2018",9057.473,"1634","880600","511700,500000,610100,611000,420300,610700","232090",,,,,,,"572","316","13541"
"6",安庆市,"340800",安庆市,"340800",地级市,安徽省,"340000",省,,,Anqing,"340800",ān Qìng,Anqing,ān Qìng,"340800",Prefecture City,Anhui,ān Huī,"340000",Province,"2018",13333.802,"7505","920300","340700,340100,341700,421100,341500,360400","72241",,,,,,,"270","41","2123"
"7",安顺市,"520400",安顺市,"520400",地级市,贵州省,"520000",省,,,Anshun,"520400",ān Shùn,Anshun,ān Shùn,"520400",Prefecture City,Guizhou,Guì Zhōu,"520000",Province,"2018",12890.855,"3436","633600","522700,522300,520200,520100,520500","36204",,,,,,,"323","148","3669"
"8",安阳市,"410500",安阳市,"410500",地级市,河南省,"410000",省,,,Anyang,"410500",ān Yáng,Anyang,ān Yáng,"410500",Prefecture City,Henan,Hé Nán,"410000",Province,"2018",7094.04,"5686","119992","140400,410900,410600,130400,410700","32248",,,,,,,"573","172","2708"
"9",鞍山市,"210300",鞍山市,"210300",地级市,辽宁省,"210000",省,,,Anshan,"210300",ān Shān,Anshan,ān Shān,"210300",Prefecture City,Liaoning,Liáo Níng,"210000",Province,"2018",6613.305,"11016","195600","210100,210200,210600,211100,211000,210700,210800","118061",,,,,,,"271","31","1082"
