中文名,英文名,日文名,属性,生蛋区,特性,隐藏特性,面板
木木枭,Rowlet,モクロー,"['草', '飞行']",飞行,茂盛,远隔,"[68, 55, 55, 50, 50, 42]"
投羽枭,Dartrix,フクスロー,"['草', '飞行']",飞行,茂盛,远隔,"[78, 75, 75, 70, 70, 52]"
狙射树枭,Decidueye,ジュナイパー,"['草', '幽灵']",飞行,茂盛,远隔,"[78, 107, 75, 100, 100, 70]"
火斑喵,Litten,ニャビー,['火'],陆上,猛火,威吓,"[45, 65, 40, 60, 40, 70]"
炎热喵,Torracat,ニャヒート,['火'],陆上,猛火,威吓,"[65, 85, 50, 80, 50, 90]"
炽焰咆哮虎,Incineroar,ガオガエン,"['火', '恶']",陆上,猛火,威吓,"[95, 115, 90, 80, 90, 60]"
球球海狮,Popplio,アシマリ,['水'],"['水中1', '陆上']",激流,湿润之声,"[50, 54, 54, 66, 56, 40]"
花漾海狮,Brionne,オシャマリ,['水'],"['水中1', '陆上']",激流,湿润之声,"[60, 69, 69, 91, 81, 50]"
西狮海壬,Primarina,アシレーヌ,"['水', '妖精']","['水中1', '陆上']",激流,湿润之声,"[80, 74, 74, 126, 116, 60]"
小笃儿,Pikipek,ツツケラ,"['一般', '飞行']",飞行,"['锐利目光', '连续攻击']",捡拾,"[35, 75, 30, 30, 30, 65]"
喇叭啄鸟,Trumbeak,ケララッパ,"['一般', '飞行']",飞行,"['锐利目光', '连续攻击']",捡拾,"[55, 85, 50, 40, 50, 75]"
铳嘴大鸟,Toucannon,ドデカバシ,"['一般', '飞行']",飞行,"['锐利目光', '连续攻击']",强行,"[80, 120, 75, 75, 75, 60]"
猫鼬少,Yungoos,ヤングース,['一般'],陆上,"['蹲守', '强壮之颚']",适应力,"[48, 70, 30, 30, 30, 45]"
猫鼬探长,Gumshoos,デカグース,['一般'],陆上,"['蹲守', '强壮之颚']",适应力,"[88, 110, 60, 55, 60, 45]"
小拉达,Rattata Alola Form,,"['恶', '一般']",陆上,"['贪吃鬼', '活力']",厚脂肪,"[30, 56, 35, 25, 35, 72]"
拉达,Raticate Alola Form,,"['恶', '一般']",陆上,"['贪吃鬼', '活力']",厚脂肪,"[75, 71, 70, 40, 80, 77]"
绿毛虫,Caterpie,キャタピー,['虫'],昆虫,鳞粉,逃跑,"[45, 30, 35, 20, 20, 45]"
铁甲蛹,Metapod,トランセル,['虫'],昆虫,蜕皮,-,"[50, 20, 55, 25, 25, 30]"
巴大蝶,Butterfree,バタフリー,"['虫', '飞行']",昆虫,复眼,有色眼镜,"[60, 45, 50, 90, 80, 70]"
芭瓢虫,Ledyba,レディバ,"['虫', '飞行']",昆虫,"['虫之预感', '早起']",胆怯,"[40, 20, 30, 40, 80, 55]"
安瓢虫,Ledian,レディアン,"['虫', '飞行']",昆虫,"['虫之预感', '早起']",铁拳,"[55, 35, 50, 55, 110, 85]"
圆丝蛛,Spinarak,イトマル,"['虫', '毒']",昆虫,"['虫之预感', '不眠']",狙击手,"[40, 60, 40, 40, 40, 30]"
阿利多斯,Ariados,アリアドス,"['虫', '毒']",昆虫,"['虫之预感', '不眠']",狙击手,"[70, 90, 70, 60, 60, 40]"
卷卷耳,Buneary,ミミロル,['一般'],"['陆上', '人形']","['逃跑', '笨拙']",柔软,"[55, 66, 44, 44, 56, 85]"
长耳兔,Lopunny,ミミロップ,['一般'],"['陆上', '人形']","['迷人之躯', '笨拙']",柔软,"[65, 76, 84, 54, 96, 105]"
好啦鱿,Inkay,マーイーカ,"['恶', '超能']","['水中1', '水中2']","['唱反调', '吸盘']",穿透,"[53, 54, 53, 37, 46, 45]"
乌贼王,Malamar,カラマネロ,"['恶', '超能']","['水中1', '水中2']","['唱反调', '吸盘']",穿透,"[86, 92, 88, 68, 75, 73]"
索罗亚,Zorua,ゾロア,['恶'],陆上,幻觉,-,"[40, 65, 40, 80, 40, 65]"
索罗亚克,Zoroark,ゾロアーク,['恶'],陆上,幻觉,-,"[60, 105, 60, 120, 60, 105]"
多丽米亚,Furfrou,トリミアン,['一般'],陆上,毛皮大衣,-,"[75, 80, 60, 65, 90, 102]"
皮丘,Pichu,ピチュー,['电'],未发现,静电,避雷针,"[20, 40, 15, 35, 35, 60]"
皮卡丘,Pikachu,ピカチュウ,['电'],"['陆上', '妖精']",静电,避雷针,"[35, 55, 40, 50, 50, 90]"
雷丘,Raichu Alola Form,,"['电', '超能']","['陆上', '妖精']",冲浪之尾,-,"[60, 85, 50, 95, 85, 110]"
强颚鸡母虫,Grubbin,アゴジムシ,['虫'],昆虫,虫之预感,-,"[47, 62, 45, 55, 45, 46]"
