中文名,英文名,日文名,属性,生蛋区,特性,隐藏特性,面板
敲音猴,Grookey,サルノリ,['草'],"['陆上', '植物']","['虫之预感', '复眼']",青草制造者,"[50, 65, 50, 40, 40, 65]"
啪咚猴,Thwackey,バチンキー,['草'],"['陆上', '植物']","['虫之预感', '复眼']",青草制造者,"[70, 85, 70, 55, 60, 80]"
轰擂金刚猩,Rillaboom,ゴリランダー,['草'],"['陆上', '植物']","['虫之预感', '察觉']",青草制造者,"[100, 125, 90, 60, 70, 85]"
炎兔儿,Scorbunny,ヒバニー,['火'],"['陆上', '人形']","['不眠', '锐利目光']",自由者,"[50, 71, 40, 40, 40, 69]"
腾蹴小将,Raboot,ラビフット,['火'],"['陆上', '人形']","['不眠', '锐利目光']",自由者,"[65, 86, 60, 55, 60, 94]"
闪焰王牌,Cinderace,エースバーン,['火'],"['陆上', '人形']","['锐利目光', '紧张感']",自由者,"[80, 116, 75, 65, 75, 119]"
泪眼蜥,Sobble,メッソン,['水'],"['水中1', '陆上']","['锐利目光', '紧张感']",狙击手,"[50, 40, 40, 70, 40, 70]"
变涩蜥,Drizzile,ジメレオン,['水'],"['水中1', '陆上']","['压迫感', '紧张感']",狙击手,"[65, 60, 55, 95, 55, 90]"
千面避役,Inteleon,インテレオン,['水'],"['水中1', '陆上']","['健壮胸肌', '超幸运']",狙击手,"[70, 85, 65, 125, 65, 120]"
索侦虫,Blipbug,サッチムシ,['虫'],"['水中1', '植物']","['健壮胸肌', '超幸运']",心灵感应,"[25, 20, 20, 25, 45, 45]"
天罩虫,Dottler,レドームシ,"['虫', '超能']","['水中1', '植物']","['健壮胸肌', '超幸运']",心灵感应,"[50, 35, 80, 50, 90, 30]"
以欧路普,Orbeetle,イオルブ,"['虫', '超能']","['水中1', '植物']","['逃跑', '轻装']",心灵感应,"[60, 45, 110, 80, 120, 90]"
绿毛虫,Caterpie,キャタピー,['虫'],"['陆上', '植物']","['逃跑', '轻装']",逃跑,"[45, 30, 35, 20, 20, 45]"
铁甲蛹,Metapod,トランセル,['虫'],"['陆上', '植物']","['捡拾', '贪吃鬼']",-,"[50, 20, 55, 25, 25, 30]"
巴大蝶,Butterfree,バタフリー,"['虫', '飞行']","['陆上', '植物']","['捡拾', '贪吃鬼']",有色眼镜,"[60, 45, 50, 90, 80, 70]"
强颚鸡母虫,Grubbin,アゴジムシ,['虫'],"['怪兽', '水中1']","['舍身', '毅力']",-,"[47, 62, 45, 55, 45, 46]"
虫电宝,Charjabug,デンヂムシ,"['虫', '电']","['怪兽', '水中1']","['毛茸茸', '逃跑']",-,"[57, 82, 95, 55, 75, 36]"
锹农炮虫,Vikavolt,クワガノン,"['虫', '电']","['妖精', '植物']","['毛茸茸', '不屈之心']",-,"[77, 70, 90, 145, 75, 43]"
咕咕,Hoothoot,ホーホー,"['一般', '飞行']","['妖精', '植物']","['悠游自如', '雨盘']",有色眼镜,"[60, 30, 30, 36, 56, 50]"
猫头夜鹰,Noctowl,ヨルノズク,"['一般', '飞行']","['水中1', '飞行']","['悠游自如', '雨盘']",有色眼镜,"[100, 50, 50, 86, 96, 70]"
稚山雀,Rookidee,ココガラ,['飞行'],"['水中1', '飞行']","['悠游自如', '雨盘']",健壮胸肌,"[38, 47, 35, 33, 35, 57]"
蓝鸦,Corvisquire,アオガラス,['飞行'],"['水中1', '陆上']","['叶绿素', '早起']",健壮胸肌,"[68, 67, 55, 43, 55, 77]"
钢铠鸦,Corviknight,アーマーガア,"['飞行', '钢']","['妖精', '矿物']","['叶绿素', '早起']",镜甲,"[98, 87, 105, 53, 85, 67]"
贪心栗鼠,Skwovet,ホシガリス,['一般'],"['妖精', '矿物']","['叶绿素', '早起']",贪吃鬼,"[70, 55, 55, 35, 35, 25]"
藏饱栗鼠,Greedent,ヨクバリス,['一般'],"['妖精', '矿物']","['强壮之颚', '硬壳盔甲']",贪吃鬼,"[120, 95, 95, 55, 75, 20]"
豆豆鸽,Pidove,マメパト,"['一般', '飞行']","['昆虫', '矿物']","['强壮之颚', '硬壳盔甲']",斗争心,"[50, 55, 50, 36, 30, 43]"
咕咕鸽,Tranquill,ハトーボー,"['一般', '飞行']","['昆虫', '矿物']","['柔软', '轻装']",斗争心,"[62, 77, 62, 50, 42, 65]"
高傲雉鸡,Unfezant,ケンホロウ,"['一般', '飞行']","['怪兽', '植物']","['柔软', '轻装']",斗争心,"[80, 115, 80, 65, 55, 93]"
偷儿狐,Nickit,クスネ,['恶'],"['怪兽', '植物']","['捡拾', '颊囊']",蹲守,"[40, 28, 28, 47, 52, 50]"
狐大盗,Thievul,フォクスライ,['恶'],"['水中1', '陆上']","['捡拾', '颊囊']",蹲守,"[70, 58, 58, 87, 92, 90]"
蛇纹熊,Zigzagoon,ジグザグマ,"['恶', '一般']","['水中1', '陆上']","['迷人之躯', '技术高手']",飞毛腿,"[38, 30, 41, 30, 41, 60]"
直冲熊,Linoone,マッスグマ,"['恶', '一般']","['水中1', '水中3']","['迷人之躯', '技术高手']",飞毛腿,"[78, 70, 61, 50, 61, 100]"
堵拦熊,Obstagoon,タチフサグマ,"['恶', '一般']","['水中1', '水中3']","['叶子防守', '迟钝']",不服输,"[93, 90, 101, 60, 81, 95]"
毛辫羊,Wooloo,ウールー,['一般'],"['陆上', '人形']","['叶子防守', '迟钝']",防弹,"[42, 40, 55, 40, 45, 48]"
毛毛角羊,Dubwool,バイウールー,['一般'],"['陆上', '人形']","['叶子防守', '女王的威严']",防弹,"[72, 80, 100, 60, 90, 88]"
莲叶童子,Lotad,ハスボー,"['水', '草']","['人形', '不定形']","['自然回复', '毒刺']",我行我素,"[40, 30, 30, 40, 50, 30]"
莲帽小童,Lombre,ハスブレロ,"['水', '草']","['人形', '不定形']","['自然回复', '毒刺']",我行我素,"[60, 50, 50, 60, 70, 50]"
乐天河童,Ludicolo,ルンパッパ,"['水', '草']","['人形', '不定形']","['自然回复', '毒刺']",我行我素,"[80, 70, 70, 90, 100, 70]"
橡实果,Seedot,タネボー,['草'],"['人形', '不定形']","['锐利目光', '湿润之躯']",顺手牵羊,"[40, 40, 50, 30, 30, 30]"
长鼻叶,Nuzleaf,コノハナ,"['草', '恶']","['妖精', '植物']","['锐利目光', '降雨']",顺手牵羊,"[70, 70, 40, 60, 40, 60]"
狡猾天狗,Shiftry,ダーテング,"['草', '恶']","['妖精', '植物']","['复眼', '紧张感']",顺手牵羊,"[90, 100, 60, 90, 60, 80]"
咬咬龟,Chewtle,カムカメ,['水'],"['水中2', '飞龙']","['复眼', '紧张感']",悠游自如,"[50, 64, 50, 38, 38, 44]"
暴噬龟,Drednaw,カジリガメ,"['水', '岩石']","['水中2', '飞龙']","['静电', '避雷针']",悠游自如,"[90, 115, 90, 48, 68, 74]"
扒手猫,Purrloin,チョロネコ,['恶'],"['水中1', '水中2']","['静电', '避雷针']",恶作剧之心,"[41, 50, 37, 50, 37, 66]"
酷豹,Liepard,レパルダス,['恶'],"['水中1', '水中2']","['威吓', '引火']",恶作剧之心,"[64, 88, 50, 88, 50, 106]"
来电汪,Yamper,ワンパチ,['电'],"['水中1', '飞龙']","['威吓', '引火']",胆怯,"[59, 45, 50, 40, 50, 26]"
逐电犬,Boltund,パルスワン,['电'],"['水中1', '飞龙']","['冰冻之躯', '雪隐']",好胜,"[69, 90, 60, 90, 60, 121]"
掘掘兔,Bunnelby,ホルビー,['一般'],"['陆上', '飞行']","['冰冻之躯', '雪隐']",大力士,"[38, 36, 38, 32, 36, 57]"
掘地兔,Diggersby,ホルード,"['一般', '地面']","['陆上', '飞行']","['冰冻之躯', '降雪']",大力士,"[85, 56, 77, 50, 77, 78]"
泡沫栗鼠,Minccino,チラーミィ,['一般'],"['飞行', '飞龙']","['迟钝', '雪隐']",连续攻击,"[55, 50, 40, 40, 40, 75]"
奇诺栗鼠,Cinccino,チラチーノ,['一般'],"['飞行', '飞龙']","['迟钝', '雪隐']",连续攻击,"[75, 95, 60, 65, 60, 115]"
甜竹竹,Bounsweet,アマカジ,['草'],"['妖精', '不定形']","['迟钝', '雪隐']",甜幕,"[42, 30, 38, 30, 38, 32]"
甜舞妮,Steenee,アママイコ,['草'],"['妖精', '不定形']","['干劲', '活力']",甜幕,"[52, 40, 48, 40, 48, 62]"
甜冷美后,Tsareena,アマージョ,['草'],"['昆虫', '妖精']","['精神力', '冰冻之躯']",甜幕,"[72, 120, 98, 50, 98, 72]"
走路草,Oddish,ナゾノクサ,"['草', '毒']","['昆虫', '妖精']","['精神力', '冰冻之躯']",逃跑,"[45, 50, 55, 75, 65, 30]"
臭臭花,Gloom,クサイハナ,"['草', '毒']","['植物', '矿物']","['我行我素', '持久力']",恶臭,"[60, 65, 70, 85, 75, 40]"
霸王花,Vileplume,ラフレシア,"['草', '毒']","['植物', '矿物']","['我行我素', '持久力']",孢子,"[75, 80, 85, 110, 90, 50]"
美丽花,Bellossom,キレイハナ,['草'],"['陆上', '妖精']","['结实', '硬壳盔甲']",治愈之心,"[75, 80, 95, 90, 100, 50]"
含羞苞,Budew,スボミー,"['草', '毒']","['陆上', '妖精']","['结实', '硬壳盔甲']",叶子防守,"[40, 30, 35, 50, 70, 55]"
毒蔷薇,Roselia,ロゼリア,"['草', '毒']","['植物', '飞龙']","['铁拳', '笨拙']",叶子防守,"[50, 60, 45, 100, 80, 65]"
罗丝雷朵,Roserade,ロズレイド,"['草', '毒']","['植物', '飞龙']","['铁拳', '笨拙']",技术高手,"[60, 70, 65, 125, 105, 90]"
长翅鸥,Wingull,キャモメ,"['水', '飞行']","['植物', '飞龙']","['预知梦', '同步']",雨盘,"[40, 30, 30, 55, 30, 85]"
大嘴鸥,Pelipper,ペリッパー,"['水', '飞行']","['水中1', '昆虫']","['预知梦', '同步']",雨盘,"[60, 50, 100, 95, 70, 65]"
电电虫,Joltik,バチュル,"['虫', '电']","['水中1', '昆虫']","['同步', '早起']",虫之预感,"[50, 47, 50, 57, 50, 65]"
电蜘蛛,Galvantula,デンチュラ,"['虫', '电']","['飞行', '陆上']","['同步', '早起']",虫之预感,"[70, 77, 60, 97, 60, 108]"
落雷兽,Electrike,ラクライ,['电'],"['飞行', '陆上']","['毛茸茸', '笨拙']",负电,"[40, 45, 40, 65, 40, 65]"
雷电兽,Manectric,ライボルト,['电'],"['陆上', '飞龙']","['毛茸茸', '笨拙']",负电,"[70, 75, 60, 105, 60, 105]"
六尾,Vulpix,ロコン,['火'],"['陆上', '飞龙']","['怪力钳', '硬壳盔甲']",日照,"[38, 41, 40, 50, 65, 65]"
九尾,Ninetales,キュウコン,['火'],"['水中1', '不定形']","['怪力钳', '硬壳盔甲']",日照,"[73, 76, 75, 81, 100, 100]"
卡蒂狗,Growlithe,ガーディ,['火'],"['水中1', '不定形']","['湿气', '储水']",正义之心,"[55, 70, 45, 70, 50, 60]"
风速狗,Arcanine,ウインディ,['火'],"['水中1', '不定形']","['湿气', '储水']",正义之心,"[90, 110, 80, 100, 80, 95]"
迷你冰,Vanillite,バニプッチ,['冰'],"['昆虫', '水中3']","['怪力钳', '硬壳盔甲']",碎裂铠甲,"[36, 50, 50, 65, 60, 44]"
多多冰,Vanillish,バニリッチ,['冰'],"['昆虫', '水中3']","['怪力钳', '硬壳盔甲']",碎裂铠甲,"[51, 65, 65, 80, 75, 59]"
双倍多多冰,Vanilluxe,バイバニラ,['冰'],"['水中1', '水中3']","['毅力', '不屈之心']",碎裂铠甲,"[71, 95, 85, 110, 95, 79]"
小山猪,Swinub,ウリムー,"['冰', '地面']","['水中1', '水中3']","['柔软', '舍身']",厚脂肪,"[50, 50, 40, 30, 30, 50]"
长毛猪,Piloswine,イノムー,"['冰', '地面']","['妖精', '人形']","['锐利目光', '铁拳']",厚脂肪,"[100, 100, 80, 60, 60, 50]"
象牙猪,Mamoswine,マンムー,"['冰', '地面']","['妖精', '人形']","['威吓', '技术高手']",厚脂肪,"[110, 130, 80, 70, 60, 80]"
信使鸟,Delibird,デリバード,"['冰', '飞行']","['妖精', '人形']","['铁拳', '破格']",不眠,"[45, 55, 45, 65, 45, 75]"
雪童子,Snorunt,ユキワラシ,['冰'],"['怪兽', '飞龙']","['铁拳', '破格']",心情不定,"[50, 50, 50, 50, 50, 50]"
冰鬼护,Glalie,オニゴーリ,['冰'],"['怪兽', '飞龙']","['正电', '负电']",心情不定,"[80, 80, 80, 80, 80, 80]"
雪妖女,Froslass,ユキメノコ,"['冰', '幽灵']","['飞行', '妖精']","['正电', '负电']",诅咒之躯,"[70, 80, 70, 80, 70, 110]"
天秤偶,Baltoy,ヤジロン,"['地面', '超能']","['飞行', '妖精']","['正电', '负电']",-,"[40, 40, 55, 40, 70, 55]"
念力土偶,Claydol,ネンドール,"['地面', '超能']","['植物', '妖精']","['飘浮', '耐热']",-,"[60, 70, 105, 70, 120, 75]"
泥驴仔,Mudbray,ドロバンコ,['地面'],"['植物', '妖精']","['飘浮', '耐热']",精神力,"[70, 100, 70, 45, 55, 45]"
重泥挽马,Mudsdale,バンバドロ,['地面'],"['怪兽', '陆上']","['同步', '复制']",精神力,"[100, 125, 100, 55, 85, 35]"
石居蟹,Dwebble,イシズマイ,"['虫', '岩石']","['怪兽', '陆上']","['同步', '复制']",碎裂铠甲,"[50, 65, 85, 35, 35, 55]"
岩殿居蟹,Crustle,イワパレス,"['虫', '岩石']","['怪兽', '陆上']","['同步', '复制']",碎裂铠甲,"[70, 105, 125, 65, 75, 45]"
