中文名,英文名,日文名,属性,生蛋区,特性,隐藏特性,面板
木守宫,Treecko,キモリ,['草'],"['怪兽', '飞龙']",茂盛,轻装,"[40, 45, 35, 65, 55, 70]"
森林蜥蜴,Grovyle,ジュプトル,['草'],"['怪兽', '飞龙']",茂盛,轻装,"[50, 65, 45, 85, 65, 95]"
蜥蜴王,Sceptile,ジュカイン,['草'],"['怪兽', '飞龙']",茂盛,轻装,"[70, 85, 65, 105, 85, 120]"
火稚鸡,Torchic,アチャモ,['火'],陆上,猛火,加速,"[45, 60, 40, 70, 50, 45]"
力壮鸡,Combusken,ワカシャモ,"['火', '格斗']",陆上,猛火,加速,"[60, 85, 60, 85, 60, 55]"
火焰鸡,Blaziken,バシャーモ,"['火', '格斗']",陆上,猛火,加速,"[80, 120, 70, 110, 70, 80]"
水跃鱼,Mudkip,ミズゴロウ,['水'],"['怪兽', '水中1']",激流,湿气,"[50, 70, 50, 50, 50, 40]"
沼跃鱼,Marshtomp,ヌマクロー,"['水', '地面']","['怪兽', '水中1']",激流,湿气,"[70, 85, 70, 60, 70, 50]"
巨沼怪,Swampert,ラグラージ,"['水', '地面']","['怪兽', '水中1']",激流,湿气,"[100, 110, 90, 85, 90, 60]"
土狼犬,Poochyena,ポチエナ,['恶'],陆上,"['逃跑', '飞毛腿']",胆怯,"[35, 55, 35, 30, 30, 35]"
大狼犬,Mightyena,グラエナ,['恶'],陆上,"['威吓', '飞毛腿']",自信过度,"[70, 90, 70, 60, 60, 70]"
蛇纹熊,Zigzagoon,ジグザグマ,['一般'],陆上,"['捡拾', '贪吃鬼']",飞毛腿,"[38, 30, 41, 30, 41, 60]"
直冲熊,Linoone,マッスグマ,['一般'],陆上,"['捡拾', '贪吃鬼']",飞毛腿,"[78, 70, 61, 50, 61, 100]"
刺尾虫,Wurmple,ケムッソ,['虫'],昆虫,鳞粉,逃跑,"[45, 45, 35, 20, 30, 20]"
甲壳茧,Silcoon,カラサリス,['虫'],昆虫,蜕皮,-,"[50, 35, 55, 25, 25, 15]"
狩猎凤蝶,Beautifly,アゲハント,"['虫', '飞行']",昆虫,虫之预感,斗争心,"[60, 70, 50, 100, 50, 65]"
盾甲茧,Cascoon,マユルド,['虫'],昆虫,蜕皮,-,"[50, 35, 55, 25, 25, 15]"
毒粉蛾,Dustox,ドクケイル,"['虫', '毒']",昆虫,鳞粉,复眼,"[60, 50, 70, 50, 90, 65]"
莲叶童子,Lotad,ハスボー,"['水', '草']","['水中1', '植物']","['悠游自如', '雨盘']",我行我素,"[40, 30, 30, 40, 50, 30]"
莲帽小童,Lombre,ハスブレロ,"['水', '草']","['水中1', '植物']","['悠游自如', '雨盘']",我行我素,"[60, 50, 50, 60, 70, 50]"
乐天河童,Ludicolo,ルンパッパ,"['水', '草']","['水中1', '植物']","['悠游自如', '雨盘']",我行我素,"[80, 70, 70, 90, 100, 70]"
橡实果,Seedot,タネボー,['草'],"['陆上', '植物']","['叶绿素', '早起']",顺手牵羊,"[40, 40, 50, 30, 30, 30]"
长鼻叶,Nuzleaf,コノハナ,"['草', '恶']","['陆上', '植物']","['叶绿素', '早起']",顺手牵羊,"[70, 70, 40, 60, 40, 60]"
狡猾天狗,Shiftry,ダーテング,"['草', '恶']","['陆上', '植物']","['叶绿素', '早起']",顺手牵羊,"[90, 100, 60, 90, 60, 80]"
傲骨燕,Taillow,スバメ,"['一般', '飞行']",飞行,毅力,胆量,"[40, 55, 30, 30, 30, 85]"
大王燕,Swellow,オオスバメ,"['一般', '飞行']",飞行,毅力,胆量,"[60, 85, 60, 75, 50, 125]"
长翅鸥,Wingull,キャモメ,"['水', '飞行']","['水中1', '飞行']","['锐利目光', '湿润之躯']",雨盘,"[40, 30, 30, 55, 30, 85]"
大嘴鸥,Pelipper,ペリッパー,"['水', '飞行']","['水中1', '飞行']","['锐利目光', '降雨']",雨盘,"[60, 50, 100, 95, 70, 65]"
拉鲁拉丝,Ralts,ラルトス,"['超能', '妖精']","['人形', '不定形']","['同步', '复制']",心灵感应,"[28, 25, 25, 45, 35, 40]"
奇鲁莉安,Kirlia,キルリア,"['超能', '妖精']","['人形', '不定形']","['同步', '复制']",心灵感应,"[38, 35, 35, 65, 55, 50]"
沙奈朵,Gardevoir,サーナイト,"['超能', '妖精']","['人形', '不定形']","['同步', '复制']",心灵感应,"[68, 65, 65, 125, 115, 80]"
溜溜糖球,Surskit,アメタマ,"['虫', '水']","['水中1', '昆虫']",悠游自如,雨盘,"[40, 30, 32, 50, 52, 65]"
雨翅蛾,Masquerain,アメモース,"['虫', '飞行']","['水中1', '昆虫']",威吓,紧张感,"[70, 60, 62, 100, 82, 80]"
蘑蘑菇,Shroomish,キノココ,['草'],"['妖精', '植物']","['孢子', '毒疗']",飞毛腿,"[60, 40, 60, 40, 60, 35]"
斗笠菇,Breloom,キノガッサ,"['草', '格斗']","['妖精', '植物']","['孢子', '毒疗']",技术高手,"[60, 130, 80, 60, 60, 70]"
懒人獭,Slakoth,ナマケロ,['一般'],陆上,懒惰,-,"[60, 60, 60, 35, 35, 30]"
过动猿,Vigoroth,ヤルキモノ,['一般'],陆上,干劲,-,"[80, 80, 80, 55, 55, 90]"
请假王,Slaking,ケッキング,['一般'],陆上,懒惰,-,"[150, 160, 100, 95, 65, 100]"
土居忍士,Nincada,ツチニン,"['虫', '地面']",昆虫,复眼,逃跑,"[31, 45, 90, 30, 30, 40]"
铁面忍者,Ninjask,テッカニン,"['虫', '飞行']",昆虫,加速,穿透,"[61, 90, 45, 50, 50, 160]"
脱壳忍者,Shedinja,ヌケニン,"['虫', '幽灵']",矿物,神奇守护,-,"[1, 90, 45, 30, 30, 40]"
咕妞妞,Whismur,ゴニョニョ,['一般'],"['怪兽', '陆上']",隔音,胆怯,"[64, 51, 23, 51, 23, 28]"
吼爆弹,Loudred,ドゴーム,['一般'],"['怪兽', '陆上']",隔音,胆量,"[84, 71, 43, 71, 43, 48]"
爆音怪,Exploud,バクオング,['一般'],"['怪兽', '陆上']",隔音,胆量,"[104, 91, 63, 91, 73, 68]"
幕下力士,Makuhita,マクノシタ,['格斗'],人形,"['厚脂肪', '毅力']",强行,"[72, 60, 30, 20, 30, 25]"
铁掌力士,Hariyama,ハリテヤマ,['格斗'],人形,"['厚脂肪', '毅力']",强行,"[144, 120, 60, 40, 60, 50]"
露力丽,Azurill,ルリリ,"['一般', '妖精']",未发现,"['厚脂肪', '大力士']",食草,"[50, 20, 40, 20, 40, 20]"
朝北鼻,Nosepass,ノズパス,['岩石'],矿物,"['结实', '磁力']",沙之力,"[30, 45, 135, 45, 90, 30]"
向尾喵,Skitty,エネコ,['一般'],"['陆上', '妖精']","['迷人之躯', '一般皮肤']",奇迹皮肤,"[50, 45, 45, 35, 35, 50]"
优雅猫,Delcatty,エネコロロ,['一般'],"['陆上', '妖精']","['迷人之躯', '一般皮肤']",奇迹皮肤,"[70, 65, 65, 55, 55, 90]"
勾魂眼,Sableye,ヤミラミ,"['恶', '幽灵']",人形,"['锐利目光', '慢出']",恶作剧之心,"[50, 75, 75, 65, 65, 50]"
大嘴娃,Mawile,クチート,"['钢', '妖精']","['陆上', '妖精']","['怪力钳', '威吓']",强行,"[50, 85, 85, 55, 55, 50]"
可可多拉,Aron,ココドラ,"['钢', '岩石']",怪兽,"['结实', '坚硬脑袋']",重金属,"[50, 70, 100, 40, 40, 30]"
可多拉,Lairon,コドラ,"['钢', '岩石']",怪兽,"['结实', '坚硬脑袋']",重金属,"[60, 90, 140, 50, 50, 40]"
波士可多拉,Aggron,ボスゴドラ,"['钢', '岩石']",怪兽,"['结实', '坚硬脑袋']",重金属,"[70, 110, 180, 60, 60, 50]"
玛沙那,Meditite,アサナン,"['格斗', '超能']",人形,瑜伽之力,心灵感应,"[30, 40, 55, 40, 55, 60]"
恰雷姆,Medicham,チャーレム,"['格斗', '超能']",人形,瑜伽之力,心灵感应,"[60, 60, 75, 60, 75, 80]"
落雷兽,Electrike,ラクライ,['电'],陆上,"['静电', '避雷针']",负电,"[40, 45, 40, 65, 40, 65]"
雷电兽,Manectric,ライボルト,['电'],陆上,"['静电', '避雷针']",负电,"[70, 75, 60, 105, 60, 105]"
正电拍拍,Plusle,プラスル,['电'],妖精,正电,避雷针,"[60, 50, 40, 85, 75, 95]"
负电拍拍,Minun,マイナン,['电'],妖精,负电,蓄电,"[60, 40, 50, 75, 85, 95]"
电萤虫,Volbeat,バルビート,['虫'],"['昆虫', '人形']","['发光', '虫之预感']",恶作剧之心,"[65, 73, 75, 47, 85, 85]"
甜甜萤,Illumise,イルミーゼ,['虫'],"['昆虫', '人形']","['迟钝', '有色眼镜']",恶作剧之心,"[65, 47, 75, 73, 85, 85]"
毒蔷薇,Roselia,ロゼリア,"['草', '毒']","['妖精', '植物']","['自然回复', '毒刺']",叶子防守,"[50, 60, 45, 100, 80, 65]"
溶食兽,Gulpin,ゴクリン,['毒'],不定形,"['污泥浆', '黏着']",贪吃鬼,"[70, 43, 53, 43, 53, 40]"
吞食兽,Swalot,マルノーム,['毒'],不定形,"['污泥浆', '黏着']",贪吃鬼,"[100, 73, 83, 73, 83, 55]"
利牙鱼,Carvanha,キバニア,"['水', '恶']",水中2,粗糙皮肤,加速,"[45, 90, 20, 65, 20, 65]"
巨牙鲨,Sharpedo,サメハダー,"['水', '恶']",水中2,粗糙皮肤,加速,"[70, 120, 40, 95, 40, 95]"
吼吼鲸,Wailmer,ホエルコ,['水'],"['陆上', '水中2']","['水幕', '迟钝']",压迫感,"[130, 70, 35, 70, 35, 60]"
吼鲸王,Wailord,ホエルオー,['水'],"['陆上', '水中2']","['水幕', '迟钝']",压迫感,"[170, 90, 45, 90, 45, 60]"
呆火驼,Numel,ドンメル,"['火', '地面']",陆上,"['迟钝', '单纯']",我行我素,"[60, 60, 40, 65, 45, 35]"
喷火驼,Camerupt,バクーダ,"['火', '地面']",陆上,"['熔岩铠甲', '坚硬岩石']",愤怒穴位,"[70, 100, 70, 105, 75, 40]"
煤炭龟,Torkoal,コータス,['火'],陆上,"['白色烟雾', '日照']",硬壳盔甲,"[70, 85, 140, 85, 70, 20]"
跳跳猪,Spoink,バネブー,['超能'],陆上,"['厚脂肪', '我行我素']",贪吃鬼,"[60, 25, 35, 70, 80, 60]"
噗噗猪,Grumpig,ブーピッグ,['超能'],陆上,"['厚脂肪', '我行我素']",贪吃鬼,"[80, 45, 65, 90, 110, 80]"
晃晃斑,Spinda,パッチール,['一般'],"['陆上', '人形']","['我行我素', '蹒跚']",唱反调,"[60, 60, 60, 60, 60, 60]"
大颚蚁,Trapinch,ナックラー,['地面'],"['昆虫', '飞龙']","['怪力钳', '沙穴']",强行,"[45, 100, 45, 45, 45, 10]"
超音波幼虫,Vibrava,ビブラーバ,"['地面', '龙']","['昆虫', '飞龙']",飘浮,-,"[50, 70, 50, 50, 50, 70]"
沙漠蜻蜓,Flygon,フライゴン,"['地面', '龙']","['昆虫', '飞龙']",飘浮,-,"[80, 100, 80, 80, 80, 100]"
刺球仙人掌,Cacnea,サボネア,['草'],"['植物', '人形']",沙隐,储水,"[50, 85, 40, 85, 40, 35]"
梦歌仙人掌,Cacturne,ノクタス,"['草', '恶']","['植物', '人形']",沙隐,储水,"[70, 115, 60, 115, 60, 55]"
青绵鸟,Swablu,チルット,"['一般', '飞行']","['飞行', '飞龙']",自然回复,无关天气,"[45, 40, 60, 40, 75, 50]"
七夕青鸟,Altaria,チルタリス,"['龙', '飞行']","['飞行', '飞龙']",自然回复,无关天气,"[75, 70, 90, 70, 105, 80]"
猫鼬斩,Zangoose,ザングース,['一般'],陆上,免疫,中毒激升,"[73, 115, 60, 60, 60, 90]"
饭匙蛇,Seviper,ハブネーク,['毒'],"['陆上', '飞龙']",蜕皮,穿透,"[73, 100, 60, 100, 60, 65]"
月石,Lunatone,ルナトーン,"['岩石', '超能']",矿物,飘浮,-,"[90, 55, 65, 95, 85, 70]"
太阳岩,Solrock,ソルロック,"['岩石', '超能']",矿物,飘浮,-,"[90, 95, 85, 55, 65, 70]"
泥泥鳅,Barboach,ドジョッチ,"['水', '地面']",水中2,"['迟钝', '危险预知']",湿润之躯,"[50, 48, 43, 46, 41, 60]"
鲶鱼王,Whiscash,ナマズン,"['水', '地面']",水中2,"['迟钝', '危险预知']",湿润之躯,"[110, 78, 73, 76, 71, 60]"
龙虾小兵,Corphish,ヘイガニ,['水'],"['水中1', '水中3']","['怪力钳', '硬壳盔甲']",适应力,"[43, 80, 65, 50, 35, 35]"
铁螯龙虾,Crawdaunt,シザリガー,"['水', '恶']","['水中1', '水中3']","['怪力钳', '硬壳盔甲']",适应力,"[63, 120, 85, 90, 55, 55]"
