中文名,英文名,日文名,属性,生蛋区,特性,隐藏特性,面板
哈力栗,Chespin,ハリマロン,['草'],陆上,茂盛,防弹,"[56, 61, 65, 48, 45, 38]"
胖胖哈力,Quilladin,ハリボーグ,['草'],陆上,茂盛,防弹,"[61, 78, 95, 56, 58, 57]"
布里卡隆,Chesnaught,ブリガロン,"['草', '格斗']",陆上,茂盛,防弹,"[88, 107, 122, 74, 75, 64]"
火狐狸,Fennekin,フォッコ,['火'],陆上,猛火,魔术师,"[40, 45, 40, 62, 60, 60]"
长尾火狐,Braixen,テールナー,['火'],陆上,猛火,魔术师,"[59, 59, 58, 90, 70, 73]"
妖火红狐,Delphox,マフォクシー,"['火', '超能']",陆上,猛火,魔术师,"[75, 69, 72, 114, 100, 104]"
呱呱泡蛙,Froakie,ケロマツ,['水'],水中1,激流,变幻自如,"[41, 56, 40, 62, 44, 71]"
呱头蛙,Frogadier,ゲコガシラ,['水'],水中1,激流,变幻自如,"[54, 63, 52, 83, 56, 97]"
甲贺忍蛙,Greninja,ゲッコウガ,"['水', '恶']",水中1,激流,变幻自如,"[72, 95, 67, 103, 71, 122]"
掘掘兔,Bunnelby,ホルビー,['一般'],陆上,"['捡拾', '颊囊']",大力士,"[38, 36, 38, 32, 36, 57]"
掘地兔,Diggersby,ホルード,"['一般', '地面']",陆上,"['捡拾', '颊囊']",大力士,"[85, 56, 77, 50, 77, 78]"
小箭雀,Fletchling,ヤヤコマ,"['一般', '飞行']",飞行,健壮胸肌,疾风之翼,"[45, 50, 43, 40, 38, 62]"
火箭雀,Fletchinder,ヒノヤコマ,"['火', '飞行']",飞行,火焰之躯,疾风之翼,"[62, 73, 55, 56, 52, 84]"
烈箭鹰,Talonflame,ファイアロー,"['火', '飞行']",飞行,火焰之躯,疾风之翼,"[78, 81, 71, 74, 69, 126]"
粉蝶虫,Scatterbug,コフキムシ,['虫'],昆虫,"['鳞粉', '复眼']",友情防守,"[38, 35, 40, 27, 25, 35]"
粉蝶蛹,Spewpa,コフーライ,['虫'],昆虫,蜕皮,友情防守,"[45, 22, 60, 27, 30, 29]"
彩粉蝶,Vivillon,ビビヨン,"['虫', '飞行']",昆虫,"['鳞粉', '复眼']",友情防守,"[80, 52, 50, 90, 50, 89]"
