中文名,英文名,日文名,属性,生蛋区,特性,隐藏特性,面板
妙蛙种子,Bulbasaur,フシギダネ,"['草', '毒']","['怪兽', '植物']",茂盛,叶绿素,"[45, 49, 49, 65, 65, 45]"
妙蛙草,Ivysaur,フシギソウ,"['草', '毒']","['怪兽', '植物']",茂盛,叶绿素,"[60, 62, 63, 80, 80, 60]"
妙蛙花,Venusaur,フシギバナ,"['草', '毒']","['怪兽', '植物']",茂盛,叶绿素,"[80, 82, 83, 100, 100, 80]"
小火龙,Charmander,ヒトカゲ,['火'],"['怪兽', '飞龙']",猛火,太阳之力,"[39, 52, 43, 60, 50, 65]"
火恐龙,Charmeleon,リザード,['火'],"['怪兽', '飞龙']",猛火,太阳之力,"[58, 64, 58, 80, 65, 80]"
喷火龙,Charizard,リザードン,"['火', '飞行']","['怪兽', '飞龙']",猛火,太阳之力,"[78, 84, 78, 109, 85, 100]"
杰尼龟,Squirtle,ゼニガメ,['水'],"['怪兽', '水中1']",激流,雨盘,"[44, 48, 65, 50, 64, 43]"
卡咪龟,Wartortle,カメール,['水'],"['怪兽', '水中1']",激流,雨盘,"[59, 63, 80, 65, 80, 58]"
水箭龟,Blastoise,カメックス,['水'],"['怪兽', '水中1']",激流,雨盘,"[79, 83, 100, 85, 105, 78]"
绿毛虫,Caterpie,キャタピー,['虫'],昆虫,鳞粉,逃跑,"[45, 30, 35, 20, 20, 45]"
铁甲蛹,Metapod,トランセル,['虫'],昆虫,蜕皮,-,"[50, 20, 55, 25, 25, 30]"
巴大蝶,Butterfree,バタフリー,"['虫', '飞行']",昆虫,复眼,有色眼镜,"[60, 45, 50, 90, 80, 70]"
独角虫,Weedle,ビードル,"['虫', '毒']",昆虫,鳞粉,逃跑,"[40, 35, 30, 20, 20, 50]"
铁壳蛹,Kakuna,コクーン,"['虫', '毒']",昆虫,蜕皮,-,"[45, 25, 50, 25, 25, 35]"
大针蜂,Beedrill,スピアー,"['虫', '毒']",昆虫,虫之预感,狙击手,"[65, 90, 40, 45, 80, 75]"
波波,Pidgey,ポッポ,"['一般', '飞行']",飞行,"['锐利目光', '蹒跚']",健壮胸肌,"[40, 45, 40, 35, 35, 56]"
比比鸟,Pidgeotto,ピジョン,"['一般', '飞行']",飞行,"['锐利目光', '蹒跚']",健壮胸肌,"[63, 60, 55, 50, 50, 71]"
大比鸟,Pidgeot,ピジョット,"['一般', '飞行']",飞行,"['锐利目光', '蹒跚']",健壮胸肌,"[83, 80, 75, 70, 70, 101]"
小拉达,Rattata,コラッタ,['一般'],陆上,"['逃跑', '毅力']",活力,"[30, 56, 35, 25, 35, 72]"
拉达,Raticate,ラッタ,['一般'],陆上,"['逃跑', '毅力']",活力,"[55, 81, 60, 50, 70, 97]"
烈雀,Spearow,オニスズメ,"['一般', '飞行']",飞行,锐利目光,狙击手,"[40, 60, 30, 31, 31, 70]"
大嘴雀,Fearow,オニドリル,"['一般', '飞行']",飞行,锐利目光,狙击手,"[65, 90, 65, 61, 61, 100]"
阿柏蛇,Ekans,アーボ,['毒'],"['陆上', '飞龙']","['威吓', '蜕皮']",紧张感,"[35, 60, 44, 40, 54, 55]"
阿柏怪,Arbok,アーボック,['毒'],"['陆上', '飞龙']","['威吓', '蜕皮']",紧张感,"[60, 95, 69, 65, 79, 80]"
皮卡丘,Pikachu,ピカチュウ,['电'],"['陆上', '妖精']",静电,避雷针,"[35, 55, 40, 50, 50, 90]"
雷丘,Raichu,ライチュウ,['电'],"['陆上', '妖精']",静电,避雷针,"[60, 90, 55, 90, 80, 110]"
穿山鼠,Sandshrew,サンド,['地面'],陆上,沙隐,拨沙,"[50, 75, 85, 20, 30, 40]"
穿山王,Sandslash,サンドパン,['地面'],陆上,沙隐,拨沙,"[75, 100, 110, 45, 55, 65]"
尼多兰,Nidoran♀,ニドラン,['毒'],"['怪兽', '陆上']","['毒刺', '斗争心']",活力,"[55, 47, 52, 40, 40, 41]"
尼多娜,Nidorina,ニドリーナ,['毒'],未发现,"['毒刺', '斗争心']",活力,"[70, 62, 67, 55, 55, 56]"
尼多后,Nidoqueen,ニドクイン,"['毒', '地面']",未发现,"['毒刺', '斗争心']",强行,"[90, 92, 87, 75, 85, 76]"
尼多朗,Nidoran♂,ニドラン,['毒'],"['怪兽', '陆上']","['毒刺', '斗争心']",活力,"[46, 57, 40, 40, 40, 50]"
尼多力诺,Nidorino,ニドリーノ,['毒'],"['怪兽', '陆上']","['毒刺', '斗争心']",活力,"[61, 72, 57, 55, 55, 65]"
尼多王,Nidoking,ニドキング,"['毒', '地面']","['怪兽', '陆上']","['毒刺', '斗争心']",强行,"[81, 102, 77, 85, 75, 85]"
皮皮,Clefairy,ピッピ,['妖精'],妖精,"['迷人之躯', '魔法防守']",友情防守,"[70, 45, 48, 60, 65, 35]"
皮可西,Clefable,ピクシー,['妖精'],妖精,"['迷人之躯', '魔法防守']",纯朴,"[95, 70, 73, 95, 90, 60]"
六尾,Vulpix,ロコン,['火'],陆上,引火,日照,"[38, 41, 40, 50, 65, 65]"
