中文名,英文名,日文名,属性,生蛋区,特性,隐藏特性,面板
草苗龟,Turtwig,ナエトル,['草'],"['怪兽', '植物']","['单纯', '纯朴']",硬壳盔甲,"[55, 68, 64, 45, 55, 31]"
树林龟,Grotle,ハヤシガメ,['草'],"['怪兽', '植物']","['单纯', '纯朴']",硬壳盔甲,"[75, 89, 85, 55, 65, 36]"
土台龟,Torterra,ドダイトス,"['草', '地面']","['怪兽', '植物']","['斗争心', '威吓']",硬壳盔甲,"[95, 109, 105, 75, 85, 56]"
小火焰猴,Chimchar,ヒコザル,['火'],"['陆上', '人形']","['斗争心', '威吓']",铁拳,"[44, 58, 44, 58, 44, 61]"
猛火猴,Monferno,モウカザル,"['火', '格斗']","['陆上', '人形']","['斗争心', '威吓']",铁拳,"[64, 78, 52, 78, 52, 81]"
烈焰猴,Infernape,ゴウカザル,"['火', '格斗']","['陆上', '人形']","['自然回复', '毒刺']",铁拳,"[76, 104, 71, 104, 71, 108]"
波加曼,Piplup,ポッチャマ,['水'],"['水中1', '陆上']","['自然回复', '毒刺']",不服输,"[53, 51, 53, 61, 56, 40]"
波皇子,Prinplup,ポッタイシ,['水'],"['水中1', '陆上']","['逃跑', '捡拾']",不服输,"[64, 66, 68, 81, 76, 50]"
帝王拿波,Empoleon,エンペルト,"['水', '钢']","['水中1', '陆上']","['黏着', '引水']",不服输,"[84, 86, 88, 111, 101, 60]"
姆克儿,Starly,ムックル,"['一般', '飞行']","['水中1', '陆上']","['黏着', '引水']",舍身,"[40, 55, 30, 30, 30, 60]"
姆克鸟,Staravia,ムクバード,"['一般', '飞行']","['水中1', '陆上']","['技术高手', '捡拾']",舍身,"[55, 75, 50, 40, 40, 80]"
姆克鹰,Staraptor,ムクホーク,"['一般', '飞行']","['妖精', '植物']","['引爆', '轻装']",舍身,"[85, 120, 70, 50, 60, 100]"
大牙狸,Bidoof,ビッパ,['一般'],"['陆上', '妖精']","['引爆', '轻装']",心情不定,"[59, 45, 40, 35, 40, 31]"
大尾狸,Bibarel,ビーダル,"['一般', '水']","['水中1', '陆上']","['逃跑', '笨拙']",心情不定,"[79, 85, 60, 55, 60, 71]"
圆法师,Kricketot,コロボーシ,['虫'],"['水中1', '陆上']","['迷人之躯', '笨拙']",逃跑,"[37, 25, 41, 25, 41, 25]"
音箱蟀,Kricketune,コロトック,['虫'],"['妖精', '植物']","['不眠', '超幸运']",技术高手,"[77, 85, 51, 55, 51, 65]"
小猫怪,Shinx,コリンク,['电'],"['妖精', '植物']","['柔软', '我行我素']",毅力,"[45, 65, 34, 40, 34, 45]"
勒克猫,Luxio,ルクシオ,['电'],"['水中1', '不定形']","['厚脂肪', '我行我素']",毅力,"[60, 85, 49, 60, 49, 60]"
伦琴猫,Luxray,レントラー,['电'],"['水中1', '不定形']","['恶臭', '引爆']",毅力,"[80, 120, 79, 95, 79, 70]"
含羞苞,Budew,スボミー,"['草', '毒']","['陆上', '人形']","['恶臭', '引爆']",叶子防守,"[40, 30, 35, 50, 70, 55]"
罗丝雷朵,Roserade,ロズレイド,"['草', '毒']","['陆上', '人形']","['飘浮', '耐热']",技术高手,"[60, 70, 65, 125, 105, 90]"
头盖龙,Cranidos,ズガイドス,['岩石'],"['怪兽', '飞龙']","['飘浮', '耐热']",强行,"[67, 125, 40, 30, 30, 58]"
战槌龙,Rampardos,ラムパルド,['岩石'],"['怪兽', '飞龙']","['结实', '坚硬脑袋']",强行,"[97, 165, 60, 65, 50, 58]"
盾甲龙,Shieldon,タテトプス,"['岩石', '钢']","['怪兽', '飞龙']","['隔音', '过滤']",隔音,"[30, 42, 118, 42, 88, 30]"
护城龙,Bastiodon,トリデプス,"['岩石', '钢']","['陆上', '人形']","['自然回复', '天恩']",隔音,"[60, 52, 168, 47, 138, 30]"
结草儿,Burmy,ミノムッチ,['虫'],"['昆虫', '水中3']","['锐利目光', '蹒跚']",防尘,"[40, 29, 45, 29, 45, 36]"
结草贵妇,Wormadam,ミノマダム,"['虫', '草']","['昆虫', '水中3']","['捡拾', '厚脂肪']",防尘,"[60, 59, 85, 79, 105, 36]"
绅士蛾,Mothim,ガーメイル,"['虫', '飞行']","['怪兽', '植物']","['不屈之心', '精神力']",有色眼镜,"[70, 94, 50, 94, 50, 66]"
三蜜蜂,Combee,ミツハニー,"['虫', '飞行']","['怪兽', '植物']","['不屈之心', '精神力']",活力,"[30, 30, 42, 30, 42, 70]"
蜂女王,Vespiquen,ビークイン,"['虫', '飞行']","['怪兽', '陆上']","['战斗盔甲', '狙击手']",紧张感,"[70, 80, 102, 80, 102, 40]"
帕奇利兹,Pachirisu,パチリス,['电'],"['飞行', '妖精']","['战斗盔甲', '狙击手']",蓄电,"[60, 45, 70, 45, 90, 95]"
泳圈鼬,Buizel,ブイゼル,['水'],"['人形', '不定形']","['危险预知', '干燥皮肤']",水幕,"[55, 65, 35, 60, 30, 85]"
浮潜鼬,Floatzel,フローゼル,['水'],"['妖精', '矿物']","['危险预知', '干燥皮肤']",水幕,"[85, 105, 55, 85, 50, 115]"
樱花宝,Cherubi,チェリンボ,['草'],"['水中1', '妖精']","['悠游自如', '引水']",-,"[45, 35, 45, 62, 53, 35]"
樱花儿,Cherrim,チェリム,['草'],"['水中1', '妖精']","['悠游自如', '引水']",-,"[70, 60, 70, 87, 78, 85]"
