中文名,英文名,日文名,属性,生蛋区,特性,隐藏特性,面板
比克提尼,Victini,ビクティニ,"['超能', '火']","['陆上', '植物']","['逃跑', '锐利目光']",-,"[100, 100, 100, 100, 100, 100]"
藤藤蛇,Snivy,ツタージャ,['草'],"['陆上', '植物']","['发光', '锐利目光']",唱反调,"[45, 45, 55, 45, 55, 63]"
青藤蛇,Servine,ジャノビー,['草'],"['陆上', '植物']","['干劲', '捡拾']",唱反调,"[60, 60, 75, 60, 75, 83]"
君主蛇,Serperior,ジャローダ,['草'],"['陆上', '飞行']","['威吓', '拨沙']",唱反调,"[75, 75, 95, 75, 95, 113]"
暖暖猪,Tepig,ポカブ,['火'],"['陆上', '飞行']","['威吓', '拨沙']",厚脂肪,"[65, 63, 45, 45, 45, 45]"
炒炒猪,Pignite,チャオブー,"['火', '格斗']","['植物', '妖精']","['柔软', '轻装']",厚脂肪,"[90, 93, 55, 70, 55, 55]"
炎武王,Emboar,エンブオー,"['火', '格斗']","['植物', '妖精']","['柔软', '轻装']",舍身,"[110, 123, 65, 100, 65, 65]"
水水獭,Oshawott,ミジュマル,['水'],"['昆虫', '矿物']","['预知梦', '同步']",硬壳盔甲,"[55, 55, 45, 63, 45, 45]"
双刃丸,Dewott,フタチマル,['水'],"['昆虫', '矿物']","['预知梦', '同步']",硬壳盔甲,"[75, 75, 60, 83, 60, 60]"
大剑鬼,Samurott,ダイケンキ,['水'],"['陆上', '飞龙']","['健壮胸肌', '超幸运']",硬壳盔甲,"[95, 100, 85, 108, 70, 70]"
探探鼠,Patrat,ミネズミ,['一般'],"['陆上', '飞龙']","['健壮胸肌', '超幸运']",分析,"[45, 55, 39, 35, 39, 42]"
步哨鼠,Watchog,ミルホッグ,['一般'],"['矿物', '不定形']","['健壮胸肌', '超幸运']",分析,"[60, 85, 69, 60, 69, 77]"
小约克,Lillipup,ヨーテリー,['一般'],"['矿物', '不定形']","['避雷针', '电气引擎']",逃跑,"[45, 60, 45, 25, 45, 55]"
哈约克,Herdier,ハーデリア,['一般'],"['水中1', '水中3']","['避雷针', '电气引擎']",胆量,"[65, 80, 65, 35, 65, 60]"
长毛狗,Stoutland,ムーランド,['一般'],"['水中1', '水中3']","['结实', '碎裂铠甲']",胆量,"[85, 110, 90, 45, 90, 80]"
扒手猫,Purrloin,チョロネコ,['恶'],"['飞行', '水中3']","['结实', '碎裂铠甲']",恶作剧之心,"[41, 50, 37, 50, 37, 66]"
酷豹,Liepard,レパルダス,['恶'],"['飞行', '水中3']","['结实', '扬沙']",恶作剧之心,"[64, 88, 50, 88, 50, 106]"
花椰猴,Pansage,ヤナップ,['草'],"['水中1', '飞行']","['纯朴', '笨拙']",茂盛,"[50, 53, 48, 53, 48, 64]"
花椰猿,Simisage,ヤナッキー,['草'],"['水中1', '飞行']","['纯朴', '笨拙']",茂盛,"[75, 98, 63, 98, 63, 101]"
爆香猴,Pansear,バオップ,['火'],"['水中1', '水中2']","['拨沙', '沙之力']",猛火,"[50, 53, 48, 53, 48, 64]"
爆香猿,Simisear,バオッキー,['火'],"['植物', '矿物']","['拨沙', '沙之力']",猛火,"[75, 98, 63, 98, 63, 101]"
冷水猴,Panpour,ヒヤップ,['水'],"['植物', '矿物']","['治愈之心', '再生力']",激流,"[50, 53, 48, 53, 48, 64]"
冷水猿,Simipour,ヒヤッキー,['水'],"['怪兽', '飞龙']","['毅力', '强行']",激流,"[75, 98, 63, 98, 63, 101]"
食梦梦,Munna,ムンナ,['超能'],"['怪兽', '飞龙']","['毅力', '强行']",心灵感应,"[76, 25, 45, 67, 55, 24]"
梦梦蚀,Musharna,ムシャーナ,['超能'],"['怪兽', '飞龙']","['毅力', '强行']",心灵感应,"[116, 55, 85, 107, 95, 29]"
豆豆鸽,Pidove,マメパト,"['一般', '飞行']","['水中1', '不定形']","['悠游自如', '湿润之躯']",斗争心,"[50, 55, 50, 36, 30, 43]"
咕咕鸽,Tranquill,ハトーボー,"['一般', '飞行']","['陆上', '人形']","['悠游自如', '湿润之躯']",斗争心,"[62, 77, 62, 50, 42, 65]"
高傲雉鸡,Unfezant,ケンホロウ,"['一般', '飞行']","['陆上', '人形']","['悠游自如', '毒手']",斗争心,"[80, 115, 80, 65, 55, 93]"
斑斑马,Blitzle,シママ,['电'],"['飞龙', '怪兽']","['毅力', '精神力']",食草,"[45, 60, 32, 50, 32, 76]"
